Match,Batting Team,Batting Position,Batsmen name,Runs,Balls,4s,6s,Strike Rate,Out/Not out
Namibia Vs Sri Lanka,Namibia,1,Michael van Lingen ,3,6,0,0,50.00,c Pramod Madushan b Chameera
Namibia Vs Sri Lanka,Namibia,2,Divan la Cock ,9,9,1,0,100.00,c Shanaka b Pramod Madushan
Namibia Vs Sri Lanka,Namibia,3,Jan Nicol Loftie-Eaton ,20,12,1,2,166.66,c †Mendis b Karunaratne
Namibia Vs Sri Lanka,Namibia,4,Stephan Baard ,26,24,2,0,108.33,c DM de Silva b Pramod Madushan
Namibia Vs Sri Lanka,Namibia,5,Gerhard Erasmus (c),20,24,0,0,83.33,c Gunathilaka b PWH de Silva
Namibia Vs Sri Lanka,Namibia,6,Jan Frylinck ,44,28,4,0,157.14,run out (Gunathilaka/†Mendis)
Namibia Vs Sri Lanka,Namibia,7,David Wiese ,0,1,0,0,0.00,c †Mendis b Theekshana
Namibia Vs Sri Lanka,Namibia,8,JJ Smit ,31,16,2,2,193.75,not out 
Namibia Vs Sri Lanka,Sri Lanka,1,Pathum Nissanka ,9,10,1,0,90.00,c Smit b Shikongo
Namibia Vs Sri Lanka,Sri Lanka,2,Kusal Mendis †,6,6,0,0,100.00,c †Green b Wiese
Namibia Vs Sri Lanka,Sri Lanka,3,Dhananjaya de Silva ,12,11,1,0,109.09,c Shikongo b Frylinck
Namibia Vs Sri Lanka,Sri Lanka,4,Danushka Gunathilaka ,0,1,0,0,0.00,c †Green b Shikongo
Namibia Vs Sri Lanka,Sri Lanka,5,Bhanuka Rajapaksa ,20,21,2,0,95.23,c la Cock b Scholtz
Namibia Vs Sri Lanka,Sri Lanka,6,Dasun Shanaka (c),29,23,2,1,126.08,c †Green b Frylinck
Namibia Vs Sri Lanka,Sri Lanka,7,Wanindu Hasaranga de Silva ,4,8,0,0,50.00,c Loftie-Eaton b Scholtz
Namibia Vs Sri Lanka,Sri Lanka,8,Chamika Karunaratne ,5,8,0,0,62.50,c Baard b Smit
Namibia Vs Sri Lanka,Sri Lanka,9,Pramod Madushan ,0,0,0,0,-,run out (van Lingen/†Green)
Namibia Vs Sri Lanka,Sri Lanka,10,Dushmantha Chameera ,8,15,0,0,53.33,c Erasmus b Wiese
Namibia Vs Sri Lanka,Sri Lanka,11,Maheesh Theekshana ,11,11,0,1,100.00,not out 
United Arab Emirates Vs Netherlands,United Arab Emirates,1,Chirag Suri ,12,20,1,0,60.00,c †Edwards b van der Merwe
United Arab Emirates Vs Netherlands,United Arab Emirates,2,Muhammad Waseem ,41,47,1,2,87.23,c Pringle b Klaassen
United Arab Emirates Vs Netherlands,United Arab Emirates,3,Kashif Daud ,15,14,0,1,107.14, b Pringle
United Arab Emirates Vs Netherlands,United Arab Emirates,4,Vriitya Aravind †,18,21,0,0,85.71,c Klaassen b de Leede
United Arab Emirates Vs Netherlands,United Arab Emirates,5,Zawar Farid ,2,4,0,0,50.00,run out (Ackermann/†Edwards)
United Arab Emirates Vs Netherlands,United Arab Emirates,6,Basil Hameed ,4,4,1,0,100.00,c van der Merwe b de Leede
United Arab Emirates Vs Netherlands,United Arab Emirates,7,Chundangapoyil Rizwan (c),1,2,0,0,50.00, b de Leede
United Arab Emirates Vs Netherlands,United Arab Emirates,8,Aayan Afzal Khan ,5,7,0,0,71.42,c Cooper b Klaassen
United Arab Emirates Vs Netherlands,United Arab Emirates,9,Karthik Meiyappan ,0,0,0,0,-,not out 
United Arab Emirates Vs Netherlands,United Arab Emirates,10,Junaid Siddique ,0,1,0,0,0.00,not out 
United Arab Emirates Vs Netherlands,Netherlands,1,Vikramjit Singh ,10,7,2,0,142.85, b Basil Hameed
United Arab Emirates Vs Netherlands,Netherlands,2,Max O'Dowd ,23,18,3,1,127.77, b Junaid Siddique
United Arab Emirates Vs Netherlands,Netherlands,3,Bas de Leede ,14,18,1,0,77.77,c Rizwan b Meiyappan
United Arab Emirates Vs Netherlands,Netherlands,4,Colin Ackermann ,17,19,1,0,89.47,c Junaid Siddique b Aayan Afzal Khan
United Arab Emirates Vs Netherlands,Netherlands,5,Tom Cooper ,8,16,0,0,50.00,lbw b Junaid Siddique
United Arab Emirates Vs Netherlands,Netherlands,6,Scott Edwards (c)†,16,19,0,0,84.21,not out 
United Arab Emirates Vs Netherlands,Netherlands,7,Roelof van der Merwe ,0,2,0,0,0.00, b Junaid Siddique
United Arab Emirates Vs Netherlands,Netherlands,8,Tim Pringle ,15,16,0,0,93.75, b Zahoor Khan
United Arab Emirates Vs Netherlands,Netherlands,9,Logan van Beek ,4,4,0,0,100.00,not out 
Scotland Vs West Indies,Scotland,1,George Munsey ,66,53,9,0,124.52,not out 
Scotland Vs West Indies,Scotland,2,Michael Jones ,20,17,3,0,117.64, b Holder
Scotland Vs West Indies,Scotland,3,Matthew Cross †,3,5,0,0,60.00,c Brooks b Holder
Scotland Vs West Indies,Scotland,4,Richie Berrington (c),16,14,0,1,114.28,c Mayers b Joseph
Scotland Vs West Indies,Scotland,5,Calum MacLeod ,23,14,4,0,164.28,c King b Smith
Scotland Vs West Indies,Scotland,6,Michael Leask ,4,6,0,0,66.66, b Joseph
Scotland Vs West Indies,Scotland,7,Chris Greaves ,16,11,2,0,145.45,not out 
Scotland Vs West Indies,West Indies,1,Kyle Mayers ,20,13,3,1,153.84,c Munsey b Davey
Scotland Vs West Indies,West Indies,2,Evin Lewis ,14,13,1,1,107.69,c Jones b Wheal
Scotland Vs West Indies,West Indies,3,Brandon King ,17,15,3,0,113.33, b Watt
Scotland Vs West Indies,West Indies,4,Nicholas Pooran (c)†,5,9,0,0,55.55, b Leask
Scotland Vs West Indies,West Indies,5,Shamarh Brooks ,4,9,0,0,44.44,c Leask b Wheal
Scotland Vs West Indies,West Indies,6,Rovman Powell ,5,6,0,0,83.33,c MacLeod b Leask
Scotland Vs West Indies,West Indies,7,Jason Holder ,38,33,4,1,115.15,c Greaves b Sharif
Scotland Vs West Indies,West Indies,8,Akeal Hosein ,1,1,0,0,100.00,run out (†Cross/Leask)
Scotland Vs West Indies,West Indies,9,Alzarri Joseph ,0,1,0,0,0.00,c †Cross b Watt
Scotland Vs West Indies,West Indies,10,Odean Smith ,5,8,0,0,62.50,c Greaves b Watt
Scotland Vs West Indies,West Indies,11,Obed McCoy ,2,3,0,0,66.66,not out 
Zimbabwe Vs Ireland,Zimbabwe,1,Regis Chakabva †,0,2,0,0,0.00,c †Tucker b Little
Zimbabwe Vs Ireland,Zimbabwe,2,Craig Ervine (c),9,12,1,0,75.00,st †Tucker b Simi Singh
Zimbabwe Vs Ireland,Zimbabwe,3,Wessly Madhevere ,22,19,4,0,115.78,c Delany b Little
Zimbabwe Vs Ireland,Zimbabwe,4,Sean Williams ,12,11,0,1,109.09,c Tector b Simi Singh
Zimbabwe Vs Ireland,Zimbabwe,5,Sikandar Raza ,82,48,5,5,170.83, b Adair
Zimbabwe Vs Ireland,Zimbabwe,6,Milton Shumba ,16,14,1,0,114.28,c Little b Adair
Zimbabwe Vs Ireland,Zimbabwe,7,Ryan Burl ,1,4,0,0,25.00,c Adair b Little
Zimbabwe Vs Ireland,Zimbabwe,8,Luke Jongwe ,20,10,3,0,200.00,not out 
Zimbabwe Vs Ireland,Ireland,1,Paul Stirling ,0,2,0,0,0.00, b Ngarava
Zimbabwe Vs Ireland,Ireland,2,Andy Balbirnie (c),3,4,0,0,75.00,c Ervine b Muzarabani
Zimbabwe Vs Ireland,Ireland,3,Lorcan Tucker †,11,11,2,0,100.00, b Ngarava
Zimbabwe Vs Ireland,Ireland,4,Harry Tector ,1,4,0,0,25.00,c Ervine b Muzarabani
Zimbabwe Vs Ireland,Ireland,5,Curtis Campher ,27,22,1,0,122.72, b Williams
Zimbabwe Vs Ireland,Ireland,6,George Dockrell ,24,20,3,0,120.00, b Sikandar Raza
Zimbabwe Vs Ireland,Ireland,7,Gareth Delany ,24,20,1,1,120.00,c Shumba b Chatara
Zimbabwe Vs Ireland,Ireland,8,Mark Adair ,9,10,0,1,90.00,c Sikandar Raza b Muzarabani
Zimbabwe Vs Ireland,Ireland,9,Simi Singh ,0,1,0,0,0.00, b Chatara
Zimbabwe Vs Ireland,Ireland,10,Barry McCarthy ,22,16,1,2,137.50,not out 
Zimbabwe Vs Ireland,Ireland,11,Josh Little ,7,11,1,0,63.63,not out 
Namibia Vs Netherlands,Namibia,1,Michael van Lingen ,20,19,3,0,105.26,c de Leede b Ackermann
Namibia Vs Netherlands,Namibia,2,Divan la Cock ,0,2,0,0,0.00,c de Leede b Pringle
Namibia Vs Netherlands,Namibia,3,Stephan Baard ,19,22,0,0,86.36,c Klaassen b van der Merwe
Namibia Vs Netherlands,Namibia,4,Jan Nicol Loftie-Eaton ,0,2,0,0,0.00,c †Edwards b van Meekeren
Namibia Vs Netherlands,Namibia,5,Jan Frylinck ,43,48,1,1,89.58,c van Meekeren b de Leede
Namibia Vs Netherlands,Namibia,6,Gerhard Erasmus (c),16,18,0,0,88.88, b de Leede
